key,key:flight,key:customer,locatorCode,purchaseMoment,travelClass,price,lastNibble

# base entity
booking-01,flight-01,customer-01,ZXC987,2024/11/30 23:59,ECONOMY,EUR 100.00,4321

# locatorCode - variations
booking-02,flight-01,customer-01,LMN654,2024/10/31 12:45,ECONOMY,EUR 100.00,5678
booking-03,flight-02,customer-02,RTY321,2024/09/15 08:30,ECONOMY,EUR 100.00,6789
booking-04,flight-03,customer-03,POI852,2024/08/22 14:00,ECONOMY,EUR 100.00,7890
booking-05,flight-04,customer-02,ASD741,2024/07/10 16:45,ECONOMY,EUR 100.00,8901

# purchaseMoment - variations
booking-06,flight-05,customer-01,GHJ369,2000/01/01 00:00,ECONOMY,EUR 100.00,9012
booking-07,flight-06,customer-01,QWE258,2024/06/15 12:30,ECONOMY,EUR 100.00,0123
booking-08,flight-07,customer-02,DFG753,2023/12/31 23:59,ECONOMY,EUR 100.00,1234

# travelClass - variations
booking-09,flight-08,customer-03,XCV159,2024/11/25 18:20,ECONOMY,EUR 100.00,2345
booking-10,flight-09,customer-03,BNM357,2024/10/20 21:10,BUSINESS,EUR 100.00,3456

# price - variations
booking-11,flight-10,customer-01,MNB753,2024/09/05 06:30,ECONOMY,EUR 0.00,4567
booking-12,flight-11,customer-02,VCX159,2024/08/17 09:50,ECONOMY,EUR 0.01,5678
booking-13,flight-12,customer-02,ZXC369,2024/07/29 11:15,ECONOMY,USD 50000.00,6789
booking-14,flight-13,customer-01,JKL147,2024/06/05 15:40,ECONOMY,USD 999999.99,7890

# lastNibble - variations
booking-15,flight-11,customer-03,HGF951,2024/05/12 20:20,ECONOMY,EUR 100.00,0001
booking-16,flight-10,customer-01,FDS357,2024/04/18 07:35,ECONOMY,EUR 100.00,9998
booking-17,flight-01,customer-02,TGB852,2024/03/22 13:55,ECONOMY,EUR 100.00,1111
